track,album_name,release_date,album_uri,song_uri,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,mode,key,valence,duration
The Writing of Fragments of Time (feat. Todd Edwards),Random Access Memories (10th Anniversary Edition),2023-05-12,spotify:album:4mAhdh996uW5SnnFKXUmC0,spotify:track:6JiQWzHFGbnW9aY3yUHO4b,35,0.0227,0.916,0.406,2.93e-05,0.33,-12.322,0.227,130.026,4,1,0,0.611,497147
Touch (2021 Epilogue) [feat. Paul Williams],Random Access Memories (10th Anniversary Edition),2023-05-12,spotify:album:4mAhdh996uW5SnnFKXUmC0,spotify:track:7oMbGRDGVDIb6ZeVcq7LfW,41,0.0586,0.341,0.362,0.854,0.273,-13.173,0.0296,90.229,4,0,6,0.088,179987
Give Life Back to Music,Random Access Memories,2013-05-20,spotify:album:4m2880jivSbbyEGAKfITCa,spotify:track:0dEIca2nhcxDUV8C5QkPYb,64,0.00286,0.788,0.616,0.549,0.0952,-10.671,0.0337,119.037,4,0,9,0.696,275387
The Game of Love,Random Access Memories,2013-05-20,spotify:album:4m2880jivSbbyEGAKfITCa,spotify:track:3ctALmweZBapfBdFiIVpji,57,0.825,0.712,0.5,0.314,0.106,-11.948,0.0338,90.039,4,0,9,0.682,322147
Giorgio by Moroder,Random Access Memories,2013-05-20,spotify:album:4m2880jivSbbyEGAKfITCa,spotify:track:0oks4FnzhNp5QPTZtoet7c,64,0.0692,0.74,0.682,0.53,0.381,-10.42,0.0504,113.201,4,0,9,0.41,544627
Within,Random Access Memories,2013-05-20,spotify:album:4m2880jivSbbyEGAKfITCa,spotify:track:7Bxv0WL7UC6WwQpk9TzdMJ,58,0.894,0.702,0.297,0.485,0.103,-14.116,0.0317,110.116,4,0,10,0.0676,228507
Instant Crush (feat. Julian Casablancas),Random Access Memories,2013-05-20,spotify:album:4m2880jivSbbyEGAKfITCa,spotify:track:2cGxRwrMyEAp8dEbuZaVv6,78,0.0422,0.775,0.585,0.619,0.077,-9.516,0.0271,109.942,4,0,10,0.518,337560
Lose Yourself to Dance (feat. Pharrell Williams),Random Access Memories,2013-05-20,spotify:album:4m2880jivSbbyEGAKfITCa,spotify:track:5CMjjywI0eZMixPeqNd75R,70,0.0839,0.832,0.659,0.00114,0.0753,-7.828,0.057,100.163,4,0,10,0.674,353893
Touch (feat. Paul Williams),Random Access Memories,2013-05-20,spotify:album:4m2880jivSbbyEGAKfITCa,spotify:track:7oaEjLP2dTJLJsITbAxTOz,59,0.477,0.29,0.412,0.0839,0.079,-12.659,0.0458,90.539,4,0,6,0.12,498960
Get Lucky (feat. Pharrell Williams and Nile Rodgers),Random Access Memories,2013-05-20,spotify:album:4m2880jivSbbyEGAKfITCa,spotify:track:69kOkLUCkxIZYexIgSG8rq,75,0.0378,0.81,0.793,1.77e-06,0.072,-9.404,0.0403,116.05,4,0,6,0.863,369627
Beyond,Random Access Memories,2013-05-20,spotify:album:4m2880jivSbbyEGAKfITCa,spotify:track:0k1xMUwn9sb7bZiqdT9ygx,56,0.367,0.716,0.648,0.485,0.368,-11.33,0.0337,104.022,4,0,8,0.789,290240
Motherboard,Random Access Memories,2013-05-20,spotify:album:4m2880jivSbbyEGAKfITCa,spotify:track:79koEJRtKOOGJ0VSAF3FMk,53,0.512,0.548,0.707,0.922,0.105,-14.902,0.0352,103.009,4,0,4,0.284,341653
Fragments of Time (feat. Todd Edwards),Random Access Memories,2013-05-20,spotify:album:4m2880jivSbbyEGAKfITCa,spotify:track:0IedgQjjJ8Ad4B3UDQ5Lyn,61,0.041,0.807,0.51,0.115,0.104,-9.729,0.0433,130.118,4,1,0,0.961,279773
Doin' it Right (feat. Panda Bear),Random Access Memories,2013-05-20,spotify:album:4m2880jivSbbyEGAKfITCa,spotify:track:36c4JohayB9qd64eidQMBi,62,0.388,0.804,0.451,2.17e-05,0.0924,-8.207,0.0949,178.061,4,1,6,0.19,251293
Contact,Random Access Memories,2013-05-20,spotify:album:4m2880jivSbbyEGAKfITCa,spotify:track:2KHRENHQzTIQ001nlP9Gdc,54,0.00282,0.4,0.756,0.753,0.0695,-8.423,0.0492,123.828,4,0,11,0.0924,383627
"Episode 1, Giorgio Moroder",Daft Punk | Random Access Memories | The Collaborators,2013-05-14,spotify:album:3QbWxiYTlTCLjHYgrgMCfU,spotify:track:4l2bO887Yauqos4LwkCwBm,22,0.506,0.717,0.382,0.0,0.242,-13.752,0.64,116.632,4,1,9,0.622,473507
"Episode 2, Todd Edwards",Daft Punk | Random Access Memories | The Collaborators,2013-05-14,spotify:album:3QbWxiYTlTCLjHYgrgMCfU,spotify:track:3K6HXNtxo1A2eCthCzrwaS,17,0.424,0.723,0.389,0.0,0.183,-13.204,0.8,118.413,3,1,9,0.624,458493
"Episode 3, Nile Rodgers",Daft Punk | Random Access Memories | The Collaborators,2013-05-14,spotify:album:3QbWxiYTlTCLjHYgrgMCfU,spotify:track:2fJp2bDmhG62vlmUpuWjxb,16,0.359,0.707,0.515,0.0,0.237,-12.299,0.772,115.171,4,0,6,0.654,453200
"Episode 4, Pharrell Williams",Daft Punk | Random Access Memories | The Collaborators,2013-05-14,spotify:album:3QbWxiYTlTCLjHYgrgMCfU,spotify:track:5pZHN9b6KrXlUC5Dt3FA0O,17,0.297,0.635,0.476,0.0,0.181,-13.942,0.446,116.154,4,0,6,0.6,422827
"Episode 5, Panda Bear",Daft Punk | Random Access Memories | The Collaborators,2013-05-14,spotify:album:3QbWxiYTlTCLjHYgrgMCfU,spotify:track:4I2apNr2XWqSo2UdEFwUsv,15,0.313,0.679,0.377,0.0,0.163,-14.144,0.553,116.597,4,1,2,0.586,457813
